DAY,LATITUDE,LONGITUDE,MONTH,SIZE,YEAR,label,total_precipitation_sum,temperature_c,dewpoint_c
23,53.004,-122.5136,8,0.6,2025,1,8.583068833445395e-07,17.840632375081384,7.954062398274743
10,53.8388,-123.191,6,0.3,2025,1,8.52346317969932e-07,13.69452565511068,-0.8648373921711823
11,52.1159,-123.2478,4,0.9,2025,1,0.0005627515194532862,4.252245839436853,-4.902627690633096
2,51.939,-123.0076,4,0.927,2025,1,0.00010078796765355946,2.561478551228845,-5.4984331766764285
2,51.9376,-123.0265,4,0.6,2025,1,0.00010078796765355946,2.561478551228845,-5.4984331766764285
2,51.9441,-123.0702,4,0.5,2025,1,0.00013249763867406728,2.511022822062216,-5.352599843343057
10,53.8116,-123.3266,8,0.12,2025,1,0.001304471492765913,17.020441309611044,12.573534901936853
3,55.7533,-121.2901,6,0.2,2025,1,0.000523650646204743,13.14914474487307,-1.2304252624511491
22,56.595,-120.772,5,0.2,2025,1,0.0002056807279586792,10.892671203613304,0.09246533711751681
16,52.5188,-118.8503,7,0.009,2025,1,0.00022049913955513034,13.698808924357138,4.268046951293968
27,49.7022,-119.8658,8,0.15,2025,1,5.662441253662109e-07,22.82007242838546,7.156493759155296
6,52.1015,-123.5631,10,0.11,2025,1,2.571940399320738e-06,9.121181106567406,3.179459508260095
5,51.6324,-121.2909,5,0.04,2025,1,8.523463748133508e-07,7.2169147491455305,-4.927887344360329
9,49.7625,-123.1331,6,59.5,2025,1,8.702277796146518e-07,18.733291880289755,9.549740727742517
13,52.4617,-125.372,5,2.24,2025,1,9.145736693838558e-05,8.180331802368187,0.25202713012697586
9,52.4688,-125.28,6,0.03,2025,1,8.702277796146518e-07,13.93137130737307,2.798031743367517
5,56.2807,-120.7,4,0.5,2025,1,2.5772114895517007e-06,6.041333770751976,-3.8392547607421648
2,55.7127,-121.3775,6,0.32,2025,1,0.00014850497245788574,12.634152348836267,-0.7752930959065338
2,49.3608,-121.4815,7,1.5,2025,1,6.0412287609779014e-05,17.26837565104171,11.35131670633956
11,52.0997,-122.1656,11,0.009,2025,1,0.0004573971032186819,2.616154607137048,1.8955290476481537
4,55.6232,-122.2676,5,0.5,2025,1,0.0007587063023741791,2.5628473917643646,-6.914006296793616
4,55.6292,-122.0766,5,0.009,2025,1,0.0004575836369689057,3.3528050740559934,-6.946639760335245
4,55.5262,-122.5,5,0.009,2025,1,0.0008810448357756684,2.1268122355143646,-6.70168533325193
4,49.2505,-119.6978,8,0.009,2025,1,0.0012423336506230953,20.262661234537802,7.941010411580407
6,49.778,-117.4676,9,0.1,2025,1,9.030103633733688e-07,20.46169815063479,10.894141769409202
13,48.7732,-123.7319,7,0.76,2025,1,8.70227722771233e-07,23.834927495320642,14.717069244384788
13,48.7775,-123.7293,7,0.009,2025,1,8.70227722771233e-07,23.834927495320642,14.717069244384788
6,49.228,-124.7492,7,0.2,2025,1,4.351138045421976e-07,15.803484217325888,10.078826522827171
5,54.0809,-122.989,11,0.2,2025,1,0.0004768908024388452,-1.0537354787190338,-5.049052937825479
17,49.2615,-124.7729,9,0.009,2025,1,0.00022799074639578976,17.052476501464866,13.4798300425212
11,57.8001,-122.8876,5,0.16,2025,1,0.00016272962092855892,9.212892150878929,-0.9540873209635379
7,49.0778,-124.0592,5,0.009,2025,1,0.0012211298225288658,12.038165028889978,4.8814350128174055
10,49.0752,-123.9095,6,0.02,2025,1,8.52346317969932e-07,19.73309987386068,7.781891123453818
18,49.2377,-124.7942,7,0.05,2025,1,0.00015651484073941901,19.18530426025393,14.187161382039392
19,49.6698,-116.8208,6,0.01,2025,1,0.0005495846271514893,16.403518931071005,6.193197504679404
1,56.6803,-121.4943,3,8.0,2025,1,0.00034621357917785645,-0.4665276845295807,-3.340479914347327
26,54.3591,-124.1915,5,2.39,2025,1,0.0005754828453063965,11.531356430053734,5.282552337646507
20,56.5915,-120.8561,5,1.5,2025,1,0.0018447926209432808,10.471676762898767,2.163090642293298
13,53.0737,-119.6579,9,0.59,2025,1,0.00011022686948081173,16.79179471333822,9.089816665649437
5,50.2434,-119.0997,9,67.0,2025,1,0.0,20.905390040079794,8.899413681030296
5,57.836,-123.1431,5,0.04,2025,1,2.1296739532772335e-05,6.669144566853845,-4.973785781860329
2,56.146,-121.7332,4,0.81,2025,1,0.00023291656395940663,-0.38733329772946945,-9.898335520426429
17,52.0597,-121.9556,9,13.7,2025,1,8.52346317969932e-07,20.636460876464866,8.490165328979515
12,52.4081,-125.6499,8,58.1,2025,1,1.636461132648037e-05,17.083469009399437,10.48508224487307
13,56.3386,-120.7318,5,0.009,2025,1,0.00024875402450064144,12.538160578409872,-0.25130945841470975
1,53.1328,-119.5055,7,23.1,2025,1,0.0039152950048446655,14.393314615885458,9.080701446533226
26,54.3,-125.8252,4,0.3,2025,1,6.273388862609863e-06,3.1115038553874115,-3.7406435648600223
25,50.8753,-120.2159,8,1.84,2025,1,0.0,21.887562688191736,9.24310201009115
6,49.9569,-119.346,7,4.9,2025,1,1.2993811537853617e-06,16.882585779825888,5.226206080118857
17,49.0527,-119.7093,7,0.009,2025,1,9.215630143444287e-06,19.37426592508956,7.004754002889001
16,49.5482,-123.9307,7,0.95,2025,1,8.560235578158881e-07,21.501868820190452,14.142151769002282
21,50.0588,-120.6518,9,0.22,2025,1,0.004593539237873756,12.613809204101585,6.920737202962243
16,50.0055,-125.5615,6,0.77,2025,1,2.115962956850126e-06,14.15625661214193,5.660211817423544
29,50.0328,-120.8584,5,0.009,2025,1,0.000483095645904541,14.96853090922042,7.232423400878929
16,50.9206,-120.0028,7,0.009,2025,1,9.066532207313571e-05,16.375078455607138,4.739238357543968
28,50.4812,-122.6053,4,0.1,2025,1,0.0009796671707249516,3.6548095703125227,0.0431788126628021
2,49.2975,-119.188,9,0.005,2025,1,3.9212123397192045e-06,21.115100479126,6.941626485188806
18,50.4843,-121.7009,8,0.009,2025,1,0.00030153409934285946,11.033950424194359,4.13039360046389
8,49.778,-124.2928,6,0.71,2025,1,8.583068797918258e-07,20.87871131896975,13.353873189290368
17,49.0185,-116.0438,10,0.6,2025,1,0.0006425321102092596,2.3424526214599837,-0.6679901123046648
9,52.8467,-122.4509,5,0.009,2025,1,0.00022667944421073116,8.850015894571982,-2.1627207438151004
17,53.1842,-119.921,9,0.009,2025,1,8.52346317969932e-07,15.137111918131552,7.261975224812829
2,49.8923,-120.906,7,0.5,2025,1,8.52346317969932e-07,16.64142252604171,8.171791966756189
11,49.1252,-124.7763,8,3518.0,2025,1,0.0,23.059126154581747,14.269115066528343
17,50.0626,-123.1055,8,0.009,2025,1,0.004139035940170288,10.20260899861654,8.433166122436546
24,56.7042,-131.1393,7,0.18,2025,1,0.005316853523140708,9.010302480061853,8.137892023722372
2,54.0257,-124.9519,7,0.009,2025,1,0.00014122128476401485,13.604638671875023,4.380206680297874
5,52.1167,-122.0104,5,0.009,2025,1,8.523463748133508e-07,8.556921259562216,-3.717031224568643
1,50.3705,-121.6674,7,242.59,2025,1,0.00013935565948486328,18.95483805338546,8.909233347574911
24,52.8693,-118.5292,5,0.5,2025,1,5.600452414000756e-05,5.2004384358724,0.3735621134440521
27,49.9771,-120.9058,7,0.075,2025,1,0.0001688152551651001,15.100745773315452,7.383454259236657
28,49.4493,-115.7626,5,0.01,2025,1,0.0,15.679348246256552,5.031336720784509
22,49.4845,-119.522,4,0.2,2025,1,1.570665222061507e-05,4.327383295695029,-6.013642374674475
28,56.6375,-121.6568,5,1.03,2025,1,0.0,16.69562428792318,4.847498830159509
2,55.0846,-121.1575,5,37.5,2025,1,8.492897336509486e-07,7.589240646362327,-0.7565622965494754
14,56.7988,-122.1182,4,2.9,2025,1,0.00013195737864180046,5.235608673095726,-1.7754876454670807
9,53.405,-120.4119,7,0.009,2025,1,0.01636564467480639,10.695753351847372,5.7905841827392805
8,55.7232,-121.4125,6,5.3,2025,1,9.179115245672165e-07,19.37919960021975,3.2440912882487396
3,55.4269,-121.7002,9,14.0,2025,1,4.261732051702438e-07,19.8188193003337,10.242330169677757
26,49.9249,-120.4738,4,0.6,2025,1,0.00010031461715698242,9.00815099080404,-1.8552268981933366
22,50.4659,-120.2714,6,0.7,2025,1,0.00185301303863028,10.816012954711937,6.584863281250023
28,49.5708,-115.512,5,0.009,2025,1,0.0,15.115708923339866,5.00700403849288
27,50.3236,-120.3379,5,0.009,2025,1,8.612871056357108e-07,11.316634114583337,1.8511482238769759
5,49.0666,-115.2329,6,0.009,2025,1,0.00026880204677581787,17.049279785156273,3.181295013427757
29,50.2688,-119.091,6,0.009,2025,1,3.310562487968127e-05,15.643708801269554,6.686097081502282
11,50.2597,-119.9533,11,0.009,2025,1,9.09566870177514e-06,3.6338141123454193,-0.34055493672684634
11,56.1137,-120.8471,9,0.009,2025,1,0.0,18.076920445760095,6.995235697428427
16,58.3072,-128.6476,8,0.003,2025,1,0.006913001512259598,8.776057179768884,5.210676447550497
17,49.9099,-115.8351,10,0.009,2025,1,0.0015875786542842718,3.4402716318766693,-0.47129414876297915
18,49.8389,-119.7115,10,0.009,2025,1,0.0017153501509596936,5.188446935017907,2.316338475545251
7,56.9503,-130.2636,4,0.009,2025,1,0.0014362215994765393,1.0521853129069427,-3.209310277303018
25,49.8509,-119.6953,4,0.1,2025,1,8.626859492011363e-05,11.45023117065432,-0.4836868286132585
17,49.7581,-123.9665,4,0.3,2025,1,,,
24,53.3407,-120.3439,5,0.95,2025,1,4.602074614012963e-05,6.4985341389974,0.7628850301106809
30,49.342,-119.7322,8,0.009,2025,1,0.0002902686760535289,22.43008702596029,7.211447652180993
10,55.6129,-121.9463,8,0.009,2025,1,0.003254169225691328,15.580662663777673,11.400764719645224
10,50.5534,-121.2981,4,0.009,2025,1,0.0002986371516158215,5.350614166259788,-3.4126800537109148
2,54.0863,-121.8613,9,0.009,2025,1,8.515731337865873e-07,19.855090713501,13.065975443522177
8,54.1191,-125.3466,6,0.009,2025,1,8.583068797918258e-07,17.78032264709475,8.85053660074874
13,49.0167,-118.4233,6,1.12,2025,1,0.0005519598722116825,16.595350519816122,7.355099614461267
11,55.6044,-122.3094,4,0.009,2025,1,0.010269785153639077,1.5190101623535384,-1.838337326049782
17,50.1375,-120.9684,6,0.009,2025,1,0.0,14.214674886067712,4.133882141113304
16,49.0905,-119.013,4,0.3,2025,1,0.00021801888942718506,7.545383707682333,-4.746318562825479
2,49.6115,-115.8549,7,0.59,2025,1,0.0005271315573622815,24.133935546875023,7.13818194071456
14,53.1165,-119.75,5,0.009,2025,1,0.0030104219913482666,6.236970520019554,-0.4374393463134538
16,49.8804,-120.6295,7,1.51,2025,1,8.709247190097358e-07,17.106361007690452,5.341126378377282
15,55.0538,-128.2386,9,0.009,2025,1,0.0035506563990566065,8.372439956665062,5.022508875529013
13,49.9403,-119.5063,10,0.64,2025,1,0.0014024630187918774,5.770936584472679,-1.4517457326252838
18,53.0973,-122.6224,6,0.009,2025,1,0.0021179676055567143,16.16774139404299,7.867742792765341
12,50.4158,-122.7031,6,0.21,2025,1,0.001129800081248078,14.398733393351279,6.441510136922204
9,50.174,-120.1421,7,0.009,2025,1,0.004877236824540887,16.781690851847372,10.04082832336428
5,55.8122,-121.6722,4,0.4,2025,1,2.5772114895517007e-06,4.661450958251976,-4.188619995117165
18,49.0825,-120.6948,4,0.37,2025,1,8.52346317969932e-07,4.206723149617517,-5.040340169270792
8,53.7528,-125.9446,6,0.6,2025,1,2.020597452911943e-06,16.432991917928064,8.415152486165368
28,52.9766,-119.3696,8,0.2,2025,1,8.63488196500839e-07,19.57956784566244,4.53360265096029
8,55.3783,-127.6896,6,0.56,2025,1,0.0004855632781932684,14.931364313761435,8.699332173665368
8,53.9946,-126.1702,6,0.009,2025,1,4.315376276764482e-06,15.92876014709475,8.32246042887374
14,54.1334,-125.3583,9,0.009,2025,1,0.007913970947264204,12.71932436625167,11.6988349914551
31,50.2702,-117.7882,5,0.1,2025,1,0.0001161250759196264,19.92423337300619,7.644356664021814
26,56.8393,-120.4083,9,0.5,2025,1,8.583068797918258e-07,9.118509546915732,1.3799714406331418
27,50.3322,-126.017,4,0.1,2025,1,1.7225872284143406e-06,7.50008354187014,2.548421478271507
30,52.444,-120.8502,8,2331.25,2025,1,0.002263838069211488,19.57543207804366,13.875998433430993
26,50.2929,-117.9484,8,0.009,2025,1,7.706880467139854e-06,23.892937596639,14.837328847249353
4,49.2792,-117.8665,9,108.0,2025,1,8.583068797918258e-07,23.044756189982138,8.175096766154013
31,53.1983,-122.4939,7,1.9,2025,1,0.00010074376950797159,23.90119069417318,10.652998860677087
4,49.0813,-117.197,9,0.14,2025,1,8.583068797918258e-07,24.634030278523767,6.752163823445642
3,49.6232,-125.2579,5,0.009,2025,1,0.0032396912574768066,2.4260002136230696,0.05660463968916929
5,49.8693,-118.3387,9,0.009,2025,1,0.0,18.831659571329794,8.638101832071982
24,51.4787,-119.008,8,25.9,2025,1,2.86102294921875e-06,16.54384256998702,9.0414863586426
9,49.9456,-125.5442,6,3.73,2025,1,8.702277796146518e-07,17.790664927164755,5.688412602742517
11,54.9955,-120.8743,7,0.009,2025,1,0.0004606872796557582,13.372682189941429,6.3933368682861555
