YEAR,MONTH,DAY,LATITUDE,LONGITUDE,SIZE_HA,CAUSE
2023,9,27,51.8197,-122.0729,0.01,H
2023,6,2,54.5692,-128.4611,1.4,H
2023,6,27,50.1166,-119.2738,0.009,H
2023,4,28,54.227,-125.6543,1.1,H
2023,4,17,49.5187,-119.5348,0.009,H
2023,4,29,52.2471,-122.0648,1.0,H
2023,5,3,49.419,-117.6083,3.5,H
2023,6,4,54.0927,-125.9594,0.2,H
2023,4,29,49.7995,-123.102,0.04,H
2023,6,27,54.9928,-125.913,0.1,H
2023,8,15,51.4915,-117.2662,0.5,H
2023,8,31,54.6377,-125.7244,1.67,H
2023,6,10,54.5359,-128.5502,0.1,H
2023,8,29,49.7502,-115.7477,0.6,H
2023,8,3,49.4769,-124.9121,0.009,H
2023,9,19,48.6657,-123.8027,0.009,H
2023,9,15,53.9193,-126.7468,0.35,H
2023,9,15,55.1504,-123.2007,0.001,H
2023,7,4,54.0742,-125.7135,0.009,H
2023,5,16,49.0538,-124.2085,0.009,H
2023,6,27,53.9234,-126.7524,0.1,H
2023,7,28,49.2397,-118.6964,0.09,H
2023,5,21,53.8093,-122.4921,0.009,U
2023,5,8,54.6468,-126.9287,0.009,H
2023,6,14,50.2894,-126.9266,7.9,H
2023,9,9,50.5177,-124.5693,44.5,H
2023,5,13,50.5601,-124.0584,0.1,U
2023,9,21,49.9398,-122.387,1.15,H
2023,7,3,51.1999,-119.5736,16.3,H
2023,6,8,54.1029,-124.6636,0.009,H
2023,9,3,49.4631,-123.6241,0.009,H
2023,7,8,49.0313,-115.0795,0.1,H
2023,8,6,49.489,-120.6499,15.78,H
2023,5,12,50.3122,-121.5536,0.009,H
2023,4,26,51.9996,-122.1568,4.93,H
2023,5,28,49.7932,-126.3342,0.009,U
2023,9,11,49.715,-126.5713,0.009,H
2023,5,27,50.5578,-127.0395,0.009,H
2023,5,30,49.8977,-125.3836,0.009,H
2023,8,9,49.7627,-126.0378,0.009,H
2023,8,12,49.5408,-125.0731,0.009,H
2023,4,15,50.7772,-119.7298,0.715,H
2023,8,15,48.5715,-123.5297,0.2,H
2023,3,28,49.0857,-122.1948,0.009,H
2023,7,22,51.0616,-119.0657,0.009,H
2023,7,19,49.4475,-124.7636,0.2,H
2023,11,21,52.5823,-122.449,0.09,H
2023,8,22,49.3585,-121.4661,0.009,H
2023,9,9,52.9418,-123.0179,0.009,H
2023,7,30,49.925,-118.0188,0.009,H
2023,5,3,49.5033,-123.7436,0.009,H
2023,4,14,50.6611,-120.54,3.13,H
2023,5,5,54.0933,-122.5482,1.15,H
2023,9,7,52.294,-125.1182,1.0,H
2023,5,3,50.6038,-117.0109,13.0,H
2023,11,2,50.4227,-126.4163,50.0,H
2023,5,2,49.6537,-116.0348,3.0,H
2023,4,12,54.1988,-125.807,3.0,H
2023,1,16,52.4396,-118.7438,8.0,H
2023,10,9,56.5134,-129.5418,0.009,H
2023,4,20,55.5763,-127.7941,0.03,H
2023,5,10,54.7973,-126.1347,1.1,H
2023,4,26,49.2686,-125.17,0.01,H
2023,8,5,49.3138,-117.6768,2.0,H
2023,8,6,49.4299,-122.8532,0.009,H
2023,3,30,50.1408,-120.8436,4.0,H
2023,3,27,50.2909,-121.1611,0.2,H
2023,3,26,50.2916,-121.1601,1.1,H
2023,7,2,49.0802,-124.0168,0.009,H
2023,9,15,50.4714,-119.3572,0.009,H
2023,8,8,50.8441,-121.3831,0.009,H
2023,9,9,53.9681,-124.706,0.009,H
2023,8,17,55.6962,-120.3186,0.009,H
2023,8,27,50.7642,-120.7833,0.009,H
2023,7,17,54.0008,-123.3124,0.054,N
2023,9,15,49.9811,-120.9023,0.009,H
2023,7,7,52.8578,-118.631,0.009,H
2023,5,10,54.0797,-125.7066,0.04,H
2023,10,7,51.8736,-121.666,0.009,H
2023,5,28,49.8997,-124.4017,0.009,H
2023,7,29,49.3695,-124.6129,0.2,H
2023,5,11,50.864,-119.9627,0.009,H
2023,5,29,57.2757,-121.704,0.04,H
2023,7,9,49.964,-123.16,0.9,H
2023,8,4,49.457,-123.1986,0.009,H
2023,5,15,55.661,-128.3373,0.009,H
2023,6,18,55.84,-120.3217,0.009,H
2023,7,16,49.3943,-121.4582,0.3,H
2023,7,14,49.3535,-121.5835,0.009,H
2023,8,4,50.6528,-120.0264,0.009,H
2023,6,2,50.4607,-125.3576,1.25,H
2023,9,15,55.6804,-120.3488,0.7,H
2023,7,21,49.0446,-123.8804,0.009,H
2023,7,10,49.0823,-115.1016,0.8,H
2023,9,21,49.3798,-123.2758,0.009,H
2023,8,18,49.3014,-119.7091,2043.8,H
2023,4,27,50.0255,-119.4995,0.009,H
2023,8,18,54.5467,-128.665,0.009,H
2023,7,12,49.3555,-122.981,0.3,H
2023,7,20,49.0938,-121.9459,0.2,H
2023,9,11,49.0856,-121.95,0.02,H
2023,4,19,50.6778,-120.3501,0.9,H
2023,9,21,49.2255,-125.1924,0.01,H
2023,8,22,54.5008,-128.5117,0.1,H
2023,6,2,49.479,-119.6166,0.009,H
2023,6,7,49.5069,-119.5791,0.1,H
2023,5,25,54.1914,-125.5591,0.009,H
2023,5,31,53.6555,-120.826,0.009,H
2023,5,30,55.1224,-125.8335,0.5,H
2023,6,11,54.7084,-128.7703,0.3,H
2023,8,18,50.5824,-127.13,0.009,H
2023,9,24,50.6481,-126.9244,0.009,N
2023,4,26,54.0313,-124.9389,0.009,H
2023,7,21,54.9573,-122.9928,0.009,H
2023,8,18,50.9718,-116.436,0.009,H
2023,7,29,50.1001,-120.7938,0.6,H
2023,6,14,49.9946,-125.2549,0.009,H
2023,8,27,49.3798,-122.021,28.0,H
2023,8,20,50.3455,-122.5349,0.009,H
2023,5,14,49.588,-117.244,0.03,H
2023,9,15,53.993,-124.7398,0.009,H
2023,6,14,49.995,-125.2542,0.01,H
2023,5,28,49.2925,-125.2701,0.009,H
2023,9,21,57.6525,-123.3793,9.68,H
2023,7,28,50.0901,-120.7443,0.009,H
