FIRE_YEAR,IGNITN_DT,LATITUDE,LONGITUDE,CURRENT_SZ
2025,2025-08-23,53.004,-122.5136,0.6
2025,2025-06-10,53.8388,-123.191,0.3
2025,2025-04-11,52.1159,-123.2478,0.9
2025,2025-04-02,51.939,-123.0076,0.927
2025,2025-04-02,51.9376,-123.0265,0.6
2025,2025-04-02,51.9441,-123.0702,0.5
2025,2025-08-10,53.8116,-123.3266,0.12
2025,2025-06-03,55.7533,-121.2901,0.2
2025,2025-05-22,56.595,-120.772,0.2
2025,2025-07-16,52.5188,-118.8503,0.009
2025,2025-08-27,49.7022,-119.8658,0.15
2025,2025-10-06,52.1015,-123.5631,0.11
2025,2025-05-05,51.6324,-121.2909,0.04
2025,2025-06-09,49.7625,-123.1331,59.5
2025,2025-05-13,52.4617,-125.372,2.24
2025,2025-06-09,52.4688,-125.28,0.03
2025,2025-04-05,56.2807,-120.7,0.5
2025,2025-06-02,55.7127,-121.3775,0.32
2025,2025-07-02,49.3608,-121.4815,1.5
2025,2025-11-11,52.0997,-122.1656,0.009
2025,2025-05-04,55.6232,-122.2676,0.5
2025,2025-05-04,55.6292,-122.0766,0.009
2025,2025-05-04,55.5262,-122.5,0.009
2025,2025-08-04,49.2505,-119.6978,0.009
2025,2025-09-06,49.778,-117.4676,0.1
2025,2025-07-13,48.7732,-123.7319,0.76
2025,2025-07-13,48.7775,-123.7293,0.009
2025,2025-07-06,49.228,-124.7492,0.2
2025,2025-11-05,54.0809,-122.989,0.2
2025,2025-09-17,49.2615,-124.7729,0.009
2025,2025-05-11,57.8001,-122.8876,0.16
2025,2025-05-07,49.0778,-124.0592,0.009
2025,2025-06-10,49.0752,-123.9095,0.02
2025,2025-07-18,49.2377,-124.7942,0.05
2025,2025-06-19,49.6698,-116.8208,0.01
2025,2025-03-01,56.6803,-121.4943,8.0
2025,2025-05-26,54.3591,-124.1915,2.39
2025,2025-05-20,56.5915,-120.8561,1.5
2025,2025-09-13,53.0737,-119.6579,0.59
2025,2025-09-05,50.2434,-119.0997,67.0
2025,2025-05-05,57.836,-123.1431,0.04
2025,2025-04-02,56.146,-121.7332,0.81
2025,2025-09-17,52.0597,-121.9556,13.7
2025,2025-08-12,52.4081,-125.6499,58.1
2025,2025-05-13,56.3386,-120.7318,0.009
2025,2025-07-01,53.1328,-119.5055,23.1
2025,2025-04-26,54.3,-125.8252,0.3
2025,2025-08-25,50.8753,-120.2159,1.84
2025,2025-07-06,49.9569,-119.346,4.9
2025,2025-07-17,49.0527,-119.7093,0.009
2025,2025-07-16,49.5482,-123.9307,0.95
2025,2025-09-21,50.0588,-120.6518,0.22
2025,2025-06-16,50.0055,-125.5615,0.77
2025,2025-05-29,50.0328,-120.8584,0.009
2025,2025-07-16,50.9206,-120.0028,0.009
2025,2025-04-28,50.4812,-122.6053,0.1
2025,2025-09-02,49.2975,-119.188,0.005
2025,2025-08-18,50.4843,-121.7009,0.009
2025,2025-06-08,49.778,-124.2928,0.71
2025,2025-10-17,49.0185,-116.0438,0.6
2025,2025-05-09,52.8467,-122.4509,0.009
2025,2025-09-17,53.1842,-119.921,0.009
2025,2025-07-02,49.8923,-120.906,0.5
2025,2025-08-11,49.1252,-124.7763,3518.0
2025,2025-08-17,50.0626,-123.1055,0.009
2025,2025-07-24,56.7042,-131.1393,0.18
2025,2025-07-02,54.0257,-124.9519,0.009
2025,2025-05-05,52.1167,-122.0104,0.009
2025,2025-07-01,50.3705,-121.6674,242.59
2025,2025-05-24,52.8693,-118.5292,0.5
2025,2025-07-27,49.9771,-120.9058,0.075
2025,2025-05-28,49.4493,-115.7626,0.01
2025,2025-04-22,49.4845,-119.522,0.2
2025,2025-05-28,56.6375,-121.6568,1.03
2025,2025-05-02,55.0846,-121.1575,37.5
2025,2025-04-14,56.7988,-122.1182,2.9
2025,2025-07-09,53.405,-120.4119,0.009
2025,2025-06-08,55.7232,-121.4125,5.3
2025,2025-09-03,55.4269,-121.7002,14.0
2025,2025-04-26,49.9249,-120.4738,0.6
2025,2025-06-22,50.4659,-120.2714,0.7
2025,2025-05-28,49.5708,-115.512,0.009
2025,2025-05-27,50.3236,-120.3379,0.009
2025,2025-06-05,49.0666,-115.2329,0.009
2025,2025-06-29,50.2688,-119.091,0.009
2025,2025-11-11,50.2597,-119.9533,0.009
2025,2025-09-11,56.1137,-120.8471,0.009
2025,2025-08-16,58.3072,-128.6476,0.003
2025,2025-10-17,49.9099,-115.8351,0.009
2025,2025-10-18,49.8389,-119.7115,0.009
2025,2025-04-07,56.9503,-130.2636,0.009
2025,2025-04-25,49.8509,-119.6953,0.1
2025,2025-04-17,49.7581,-123.9665,0.3
2025,2025-05-24,53.3407,-120.3439,0.95
2025,2025-08-30,49.342,-119.7322,0.009
2025,2025-08-10,55.6129,-121.9463,0.009
2025,2025-04-10,50.5534,-121.2981,0.009
2025,2025-09-02,54.0863,-121.8613,0.009
2025,2025-06-08,54.1191,-125.3466,0.009
